vs. Model;Deutsch;Russian;Englisch;;;
iPod;das Handy, -s ;мобильный телефон, м.;;;;
dial telephone, dialpho…;das Telefon, -e;стационарный телефон, м.;;;;
desktop computer;der Computer, - ;стационарный компьютер, м.;;;;
laptop, laptop computer;der Laptop, -s;ноутбук, м.;;;;
monitor;der Bildschirm, -e;монитор, м.;;;;
computer keyboard, ke....;die Tastatur, -en;клавиатура, ж.;;;;
mouse, computer mouse;die Maus, “-e;мышка, ж.;;;;
modem;das WLAN;роутер, м.;;;;
printer;der Drucker, -;принтер, м.;;;;
television, televisionsy…;der Fernseher, - ;телевизор, м.;;;;
remote control, remote;die Fernbediengung, -en;пульт, м.;;;;
reflexcamera;die Digitalkamera, -s;фотоаппарат, м.;;;;
radio, wireless;das Radio, -s ;радио, с.;;;;
hand blower, blow drye...;der Föhn, -e;фен, м.;;;;
sewing machine;die Nähmaschine,-n;швейная машина, ж.;;;;
vacuum, vacuum cleaner;der Staubsauger, -;пылесос, м.;;;;
iron, smoothing iron;das Bügeleisen, -;утюг, м.;;;;
espresso maker;die Kaffemaschine, -n;кофемашина, ж.;;;;
washer, automatic wash…;die Wachmaschine, -n;стиральная машина, ж.;;;;
refrigerator, eisbox;"der Kühlschrank, ""-e ";холодильник, м.;;;;
teapot;der Wasserkocher, -;чайник, м.;;;;
"stove
";der Herd, -e;газовая / электро плита, ж.;;;;
microwave, …;die Mikrowelle, -n;микроволновая печь, ж.;;;;
toaster;der Toaster, -;тостер, м.;;;;
scale, weighing machine;die Waage, -n;весы, м., мн.ч.;;;;
stove;der Grill, -s;гриль, м.;;;;
lampshade, lamp shade;die Glühbirne, -n;лампочки, ж.;;;;
bassinet;der Kinderwagen, - ;коляска, ж.;;;;
mountainbike, alllterra…;"das Fahrrad, "" -er ";велосипед, м.;;;;
"moped
motor scooter, scooter";das Moped, -s;мотоцикл, м.;;;;
"limousin, limo
sport car
miniwan
jeep, landroover";das Auto, -s ;автомобиль, м.;;;;
cab, hack, taxi, taxicab;das Taxi, -s;такси, с.;;;;
"school bus
minibus";der Bus, -se ;автобус, м.;;;;
trolleybus, trolley coach…;die Straßenbahn,-en;трамвай, м.;;;;
"bullet train, bullet
steam locomotive
electric locomotive";"der Zug, ""-e ";поезд, м.;;;;
airliner;das Flugzeug, -e;самолет, м.;;;;
"liner, ocean liner
schooner
";das Schiff, -e;корабль, м.;;;;
"canoe
speedboat";das Boot, -e;лодка, ж.;;;;
traffic light, traffic signs…;die Ampel, -n;светофор, м.;;;;
gas pump, gasoline pu…;die Tankestelle, -n;заправочная станция, ж.;;;;
castle;"das Schloss, ""-er";замок, м.;;;;
cash machine, cash dis…;der Geldautomat,-en;банкомат, м.;;;;
menu;das Menü, -s;меню, с.;;;;
pot bottle, soda bottle;die Dose, -n;жестяная / консервная банка, ж.;;;;
water bottle;die Flasche, -n ;бутылка, ж.;;;;
"coffe mug
cup";die Tasse, -n;кружка, ж.;;;;
beer glass;"das Glas, ""-er";стакан, м.;;;;
coffepot;die Kaffekanne, -n;кофейник, м.;;;;
"mixing bowl
plate";der Teller, -;тарелка, ж.;;;;
ladle;der Löffel, -;ложка, ж.;;;;
spatula;die Gabel, -n;вилка, ж.;;;;
"cleaver, meat cleaver, c…
letter opener, paper kni…";das Messer, -;нож, м.;;;;
"frying pan, frypan, skillet
wok";die Pfanne, -n;сковорода, ж.;;;;
Crock Pot;"der Topf, ""-e";кастрюля, ж.;;;;
"french loaf
bagel";das Brötchen, -;булочка, ж.;;;;
